Gene	Gene set name	Category
GRMZM2G176519	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G180704	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G300463	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G395458	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G409658	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G025459	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G027632	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G064725	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G070163	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G138814	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G148144	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM5G845175	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G001696	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G128074	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G384871	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM5G870932	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G030099	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G050561	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G161780	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G169321	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G363982	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G380789	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G057084	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G133854	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
AC197672.3_FG002	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G132647	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G377341	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G445588	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM5G800518	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
