Gene	Gene set name	Category
Solyc12g007200.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g027850.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g027870.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g095860.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g007550.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g007560.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g016520.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g017350.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g017360.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g017370.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g017380.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g017390.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g017420.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g017440.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g017460.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g017470.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g017510.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g056330.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g056840.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g057100.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g086710.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g095950.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g096390.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc01g098320.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc02g067590.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc02g078260.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc02g083220.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc02g083230.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc02g083240.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc02g083350.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc02g089330.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc02g089340.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc03g025570.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc03g065320.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc03g071770.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc03g095380.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc03g110880.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc03g118380.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc04g018250.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc04g026310.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc04g040170.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc04g049730.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc04g054510.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc05g010300.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc05g010660.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc05g051790.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
