Gene	Gene set name	Category
LOC_Os05g06460	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os05g49760	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os05g49880	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os06g01630	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os06g13720	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os06g19960	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os06g30460	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os07g04240	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os07g22720	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os07g38970	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os07g43700	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os07g49520	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os08g02640	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os08g33720	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os08g42410	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os09g20440	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os09g33500	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os10g13700	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os10g33800	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os11g33240	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os12g08170	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os12g37870	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os12g42230	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os12g43630	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os01g67860	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os01g64660	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os01g02880	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os01g47550	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os01g70170	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os01g09570	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os02g03540	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os02g38840	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os03g07300	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os03g16050	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os03g20300	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os03g29950	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os03g30300	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os03g50480	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os03g56460	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os04g19740	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os04g24140	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os04g39420	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os04g40874	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os05g33380	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os05g36270	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os05g44922	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os06g02144	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os06g04270	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os06g14510	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os06g40640	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os06g41360	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os06g45370	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os07g08030	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os07g22350	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os07g41280	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os08g02700	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os08g05830	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os08g34050	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os08g37380	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os08g43370	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os09g24910	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os09g29070	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os09g30240	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os09g32810	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os09g35970	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os10g11140	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
